name,{cer_res},{wer_res},{bleu_res},{bert_res}
0.8345,1.2560,0.0000,0.7138,0.7109,0.7124
0.8023,1.2775,0.0000,0.7275,0.7318,0.7296
0.9560,0.9790,0.0000,0.7236,0.7216,0.7226
0.7949,1.1489,0.0000,0.7297,0.7269,0.7283
0.8405,0.9868,0.0000,0.7062,0.7238,0.7149
0.8776,0.9771,0.0000,0.7274,0.7214,0.7244
0.7963,1.1799,0.0000,0.7201,0.7228,0.7214
0.8207,0.9785,0.0000,0.7327,0.7262,0.7294
0.8619,0.9856,0.0000,0.7327,0.7230,0.7278
0.7889,1.0529,0.0000,0.7315,0.7328,0.7321
0.9202,0.9851,0.0000,0.7389,0.7411,0.7400
0.8092,1.1921,0.0000,0.7215,0.7143,0.7179
0.9224,0.9894,0.0000,0.7283,0.7158,0.7220
0.7847,1.0000,0.0000,0.7147,0.7248,0.7197
0.7751,1.0929,0.0000,0.7219,0.7135,0.7177
0.9366,0.9855,0.0000,0.7316,0.7265,0.7290
0.8357,0.9948,0.0000,0.7295,0.7223,0.7259
0.8964,0.9585,0.0000,0.7517,0.7392,0.7454
0.7898,1.0862,0.0000,0.7148,0.7390,0.7267
0.8114,1.0564,0.0000,0.7257,0.7334,0.7296
0.7748,0.9633,0.0000,0.7160,0.7203,0.7181
0.8672,0.9727,0.0000,0.7222,0.7208,0.7215
0.7726,1.1159,0.0000,0.7118,0.7256,0.7186
1.0000,0.9672,0.0000,0.7201,0.7159,0.7180
0.8103,1.1525,0.0000,0.6978,0.7067,0.7022
0.8473,0.9775,0.0000,0.7154,0.7148,0.7151
0.8526,0.9598,0.0000,0.7287,0.7292,0.7290
1.0000,0.9900,0.0000,0.6460,0.5879,0.6156
0.8358,3.9565,0.0000,0.5856,0.6473,0.6149
0.7379,1.2500,0.0000,0.6998,0.7067,0.7032
1.0000,0.9765,0.0000,0.7098,0.7111,0.7105
0.7427,1.1097,0.0000,0.7044,0.7128,0.7086
0.7575,1.1229,0.0000,0.7168,0.7021,0.7094
0.8667,0.9773,0.0000,0.7196,0.7148,0.7172
0.8837,0.9952,0.0000,0.7160,0.7115,0.7137
0.9822,0.9853,0.0000,0.7113,0.7106,0.7109
0.8031,1.0118,0.0000,0.6960,0.7062,0.7011
0.8903,0.9840,0.0000,0.7044,0.7081,0.7063
0.7875,1.3291,0.0000,0.7320,0.7251,0.7285
0.9186,0.9648,0.0000,0.7422,0.7317,0.7369
0.8462,0.9840,0.0000,0.7278,0.7426,0.7351
0.8903,0.9783,0.0000,0.7238,0.7326,0.7282
0.7833,1.1429,0.0000,0.7129,0.7218,0.7173
0.8196,0.9952,0.0000,0.7184,0.7213,0.7198
0.8459,0.9817,0.0000,0.7050,0.6972,0.7011
0.8162,1.0980,0.0000,0.7243,0.7299,0.7271
0.8355,0.9831,0.0000,0.6426,0.6846,0.6630
