name,{cer_res},{wer_res},{bleu_res},{bert_res}
0.7846,1.0400,0.0000,0.7167,0.7124,0.7145
0.7720,1.0289,0.0000,0.7283,0.7361,0.7322
0.9452,0.9622,0.0000,0.7165,0.7214,0.7190
0.8198,0.9787,0.0000,0.7313,0.7333,0.7323
0.8375,0.9559,0.0000,0.7244,0.7407,0.7325
0.8974,0.9725,0.0000,0.7316,0.7308,0.7312
0.8138,0.9894,0.0000,0.7197,0.7290,0.7243
0.8909,0.9528,0.0000,0.7357,0.7348,0.7353
0.8472,0.9665,0.0000,0.7279,0.7260,0.7270
0.8149,0.9735,0.0000,0.7421,0.7443,0.7432
0.9355,0.9554,0.0000,0.7399,0.7447,0.7423
0.8341,1.0066,0.0000,0.7226,0.7215,0.7220
0.9218,0.9577,0.0000,0.7327,0.7269,0.7298
0.8338,0.9657,0.0000,0.7135,0.7338,0.7235
0.8348,0.9727,0.0000,0.7286,0.7250,0.7268
0.9529,0.9614,0.0000,0.7228,0.7319,0.7273
0.8012,0.9583,0.0000,0.7343,0.7302,0.7322
0.9290,0.9326,0.0000,0.7497,0.7463,0.7480
0.8015,0.9770,0.0000,0.7137,0.7427,0.7279
0.8406,0.9590,0.0000,0.7199,0.7333,0.7265
0.8363,0.9541,0.0000,0.7155,0.7273,0.7213
0.8980,0.9636,0.0000,0.7271,0.7293,0.7282
0.8424,0.9662,0.0000,0.7126,0.7345,0.7233
1.0000,0.9672,0.0000,0.7241,0.7220,0.7231
0.8138,0.9831,0.0000,0.7025,0.7135,0.7079
0.9018,0.9550,0.0000,0.7190,0.7267,0.7228
0.8811,0.9464,0.0000,0.7246,0.7246,0.7246
1.0000,0.9750,0.0000,0.6554,0.5972,0.6249
0.8383,3.1739,0.0000,0.5890,0.6535,0.6196
0.7815,1.0106,0.0000,0.7058,0.7163,0.7110
1.0000,0.9569,0.0000,0.7180,0.7203,0.7192
0.7746,0.9677,0.0000,0.7103,0.7168,0.7135
0.8016,0.9777,0.0000,0.7177,0.7061,0.7118
0.8793,0.9545,0.0000,0.7158,0.7236,0.7197
0.9119,0.9713,0.0000,0.7172,0.7166,0.7169
0.9540,0.9706,0.0000,0.7216,0.7258,0.7237
0.8567,0.9706,0.0000,0.7036,0.7169,0.7102
0.8911,0.9626,0.0000,0.7037,0.7150,0.7093
0.7891,1.0823,0.0000,0.7324,0.7254,0.7289
0.9403,0.9692,0.0000,0.7406,0.7386,0.7396
0.8466,0.9574,0.0000,0.7322,0.7456,0.7388
0.9064,0.9348,0.0000,0.7147,0.7395,0.7269
0.8124,0.9702,0.0000,0.7166,0.7312,0.7238
0.8287,0.9372,0.0000,0.7192,0.7244,0.7218
0.8917,0.9633,0.0000,0.7210,0.7088,0.7148
0.8603,0.9804,0.0000,0.7340,0.7478,0.7408
0.8226,0.9789,0.0000,0.6405,0.6854,0.6622
