cer_res,wer_res,time
0.2341,0.5046,1.831017255783081
0.1329,0.4567,1.9792301654815674
0.2322,0.4790,1.9348177909851074
0.2110,0.4860,1.8366992473602295
0.1397,0.4286,1.845999002456665
0.2296,0.4800,1.9716205596923828
0.1564,0.4748,2.0684640407562256
0.2189,0.5581,1.3481168746948242
0.1420,0.4685,1.864123821258545
0.1508,0.4472,1.9987869262695312
0.1820,0.4815,1.988492727279663
0.3107,0.5404,2.172150135040283
0.1707,0.4610,2.105454444885254
0.2588,0.4805,1.6830930709838867
0.2053,0.4894,1.7579820156097412
0.2218,0.5082,1.9471101760864258
0.1721,0.5108,2.010430335998535
0.2475,0.4865,1.8867590427398682
0.2206,0.4882,1.9740095138549805
0.1988,0.4656,2.014430284500122
0.2037,0.4902,1.776301622390747
0.2309,0.4961,2.01568865776062
0.1869,0.5385,1.9134728908538818
0.2525,0.4950,1.8083491325378418
0.2283,0.4800,1.9278323650360107
0.1785,0.4862,1.814870834350586
0.2041,0.4860,1.8257014751434326
0.2679,0.5141,2.053375244140625
0.2732,0.5197,1.8687453269958496
0.2239,0.4786,1.89015793800354
0.1241,0.3936,1.6956164836883545
0.3568,0.4852,2.10984206199646
0.1991,0.4965,2.1272833347320557
0.2175,0.4634,1.9075896739959717
0.2326,0.4876,1.977604866027832
0.1434,0.4317,2.0162229537963867
0.1793,0.4545,2.1136343479156494
0.1742,0.5421,1.749516248703003
0.1478,0.4409,1.975024700164795
0.2146,0.4939,2.2304065227508545
0.1763,0.4602,1.8471949100494385
0.2075,0.4587,1.8620235919952393
0.1596,0.4622,1.9264850616455078
0.1473,0.4504,1.9657702445983887
0.1501,0.4641,2.734487533569336
0.1647,0.3772,1.9255504608154297
0.2115,0.4808,2.1675727367401123
0.2067,0.4605,2.1505484580993652
0.1559,0.4183,2.1085336208343506
0.2244,0.4800,1.958056926727295
