cer_res,wer_res,time
0.2341,0.5046,2.1565725803375244
0.1329,0.4567,2.1766529083251953
0.2322,0.4790,4.372896671295166
0.2110,0.4860,5.123384237289429
0.1397,0.4286,2.077928304672241
0.2296,0.4800,2.9972128868103027
0.1564,0.4748,2.4961726665496826
0.2189,0.5581,1.4375548362731934
0.1420,0.4685,1.9367015361785889
0.1508,0.4472,2.6369714736938477
0.1820,0.4815,3.049349308013916
0.3107,0.5404,3.0009636878967285
0.1707,0.4610,2.8909738063812256
0.2588,0.4805,1.9003753662109375
0.2053,0.4894,5.839904546737671
0.2218,0.5082,4.940939664840698
0.1721,0.5108,3.1449990272521973
0.2475,0.4865,2.3215229511260986
0.2206,0.4882,2.2356619834899902
0.1988,0.4656,2.2868688106536865
0.2037,0.4902,2.2193760871887207
0.2309,0.4961,2.1583282947540283
0.1869,0.5385,2.77461576461792
0.2525,0.4950,2.6761398315429688
0.2283,0.4800,2.220989465713501
0.1785,0.4862,4.991009473800659
0.2041,0.4860,2.526627540588379
0.2679,0.5141,2.349757432937622
0.2732,0.5197,2.020991802215576
0.2239,0.4786,2.0474679470062256
0.1241,0.3936,2.4985811710357666
0.3568,0.4852,4.558671712875366
0.1991,0.4965,3.0253984928131104
0.2175,0.4634,2.104074716567993
0.2326,0.4876,2.6441450119018555
0.1434,0.4317,3.5972514152526855
0.1793,0.4545,6.345239162445068
0.1742,0.5421,1.9654574394226074
0.1478,0.4409,2.87320876121521
0.2146,0.4939,3.135063648223877
0.1763,0.4602,2.0607314109802246
0.2075,0.4587,2.0739312171936035
0.1596,0.4622,2.7340548038482666
0.1473,0.4504,3.012786626815796
0.1501,0.4641,6.8702192306518555
0.1647,0.3772,5.966119289398193
0.2115,0.4808,3.278231620788574
0.2067,0.4605,3.7731916904449463
0.1559,0.4183,3.1971983909606934
0.2244,0.4800,2.7058916091918945
