cer_res,wer_res,time
0.2774,0.2202,3.3014943599700928
0.0012,0.2156,2.031684160232544
0.0050,0.2326,3.2114274501800537
0.0280,0.2333,1.6304783821105957
0.0157,0.1557,2.702120542526245
0.0280,0.1890,3.477576732635498
0.0370,0.2097,7.815850257873535
0.0131,0.1937,2.3980143070220947
0.0126,0.2588,2.0826590061187744
0.0428,0.3034,3.039743185043335
0.0319,0.2550,2.983916759490967
0.0174,0.1778,3.9370434284210205
0.0160,0.1918,4.162234544754028
0.0007,0.3136,3.372159242630005
0.0023,0.2838,1.4154016971588135
0.0127,0.2283,3.2101852893829346
0.0267,0.2969,2.2006728649139404
0.0105,0.2594,3.6320981979370117
0.0595,0.2135,4.386744499206543
0.0467,0.2222,2.043041467666626
0.0131,0.2166,3.2964494228363037
0.0483,0.3992,3.6581530570983887
0.0095,0.2887,2.241281032562256
0.0120,0.1763,3.8962535858154297
0.0469,0.2000,1.7070295810699463
0.0087,0.2346,2.142674446105957
0.0281,0.2075,11.604981899261475
0.0085,0.2787,1.7560532093048096
0.0267,0.2957,2.9771313667297363
0.1425,0.2757,4.348607778549194
0.0066,0.2373,2.139862298965454
0.0055,0.2146,2.319331169128418
0.0222,0.2254,4.4326207637786865
0.0100,0.1780,4.218894720077515
0.0302,0.2260,3.933866024017334
0.0482,0.2261,4.608546495437622
0.0209,0.3161,2.196643590927124
0.0275,0.2757,2.2124061584472656
0.0082,0.2955,2.0986125469207764
0.0091,0.2565,2.4323770999908447
0.0406,0.1786,4.001538038253784
0.0076,0.2458,2.728313446044922
0.0296,0.3333,1.5205206871032715
0.0087,0.2599,2.044322967529297
0.0431,0.3144,2.988668203353882
0.0138,0.2607,2.6529595851898193
0.0120,0.2197,2.4268438816070557
0.0241,0.2778,2.790426731109619
0.0035,0.1709,2.614389181137085
0.0183,0.2891,2.7756950855255127
