cer_res,wer_res,time
0.2774,0.2202,5.144544839859009
0.0012,0.2156,2.5989885330200195
0.0050,0.2326,4.4581310749053955
0.0280,0.2333,1.7070279121398926
0.0157,0.1557,3.7159228324890137
0.0280,0.1890,4.643303155899048
0.0370,0.2097,4.633360147476196
0.0131,0.1937,4.036748170852661
0.0126,0.2588,2.59767746925354
0.0428,0.3034,5.398363351821899
0.0319,0.2550,5.460578680038452
0.0174,0.1778,5.66357159614563
0.0160,0.1918,6.12115740776062
0.0007,0.3136,3.587906837463379
0.0023,0.2838,1.9349987506866455
0.0127,0.2283,3.597012519836426
0.0267,0.2969,2.541163206100464
0.0105,0.2594,4.285155534744263
0.0595,0.2135,5.260019302368164
0.0467,0.2222,2.322267532348633
0.0131,0.2166,3.781148672103882
0.0483,0.3992,4.582763433456421
0.0095,0.2887,2.6266725063323975
0.0120,0.1763,4.77208399772644
0.0469,0.2000,2.613199234008789
0.0087,0.2346,2.611093521118164
0.0281,0.2075,7.918976545333862
0.0085,0.2787,1.9435725212097168
0.0267,0.2957,4.074460983276367
0.1425,0.2757,5.023388862609863
0.0066,0.2373,3.044750213623047
0.0055,0.2146,2.652305841445923
0.0222,0.2254,4.576105833053589
0.0100,0.1780,7.33577299118042
0.0302,0.2260,5.5179603099823
0.0482,0.2261,8.245055913925171
0.0209,0.3161,2.9326462745666504
0.0275,0.2757,3.2783634662628174
0.0082,0.2955,3.0295939445495605
0.0091,0.2565,2.7038700580596924
0.0406,0.1786,5.452874660491943
0.0076,0.2458,2.6764328479766846
0.0296,0.3333,1.704439401626587
0.0087,0.2599,2.8777923583984375
0.0431,0.3144,3.3762550354003906
0.0138,0.2607,5.816965579986572
0.0120,0.2197,4.021870136260986
0.0241,0.2778,2.834249496459961
0.0035,0.1709,2.8709168434143066
0.0183,0.2891,3.1882688999176025
