cer_res,wer_res,time
0.1035,0.6757,2.744197130203247
0.1042,0.6509,3.917722702026367
0.1023,0.6598,2.940908908843994
0.1165,0.6405,5.275035381317139
0.0863,0.6042,3.0334675312042236
0.1066,0.6111,3.501981735229492
0.1163,0.5505,4.525400876998901
0.0960,0.5828,5.616455316543579
0.0883,0.5323,6.13184118270874
0.0819,0.5765,2.9320363998413086
0.0922,0.6032,3.329195976257324
0.0991,0.6952,3.4022703170776367
0.0912,0.5503,5.710887670516968
0.1016,0.6772,2.636183261871338
0.0816,0.6084,2.9625937938690186
0.0741,0.5600,2.652799129486084
0.0916,0.5188,2.6781485080718994
0.0751,0.6190,3.17055344581604
0.1012,0.6346,3.1340086460113525
0.0848,0.5529,2.9512431621551514
0.0901,0.5238,5.898358583450317
0.1357,0.7078,6.400501251220703
0.0931,0.6386,5.9624199867248535
0.0848,0.6031,3.4086410999298096
0.0966,0.5806,2.992525339126587
0.1241,0.7301,2.6720056533813477
0.1083,0.6373,2.979562997817993
0.1255,0.6603,3.503124237060547
0.1018,0.6632,3.4924874305725098
0.1059,0.6162,6.686766147613525
0.1237,0.8075,2.8847568035125732
0.1234,0.7183,1.967834711074829
0.0671,0.5839,2.8266079425811768
0.0726,0.4908,2.7616353034973145
