cer_res,wer_res,time
0.4980,0.8532,1.5326979160308838
0.5186,0.7480,1.6865174770355225
0.4163,0.6723,1.6686718463897705
0.5321,0.9533,1.6122586727142334
0.6223,0.9328,1.661346197128296
0.4260,0.6480,1.7181518077850342
0.4742,0.7482,1.8397607803344727
0.4019,0.5116,1.006213903427124
0.4188,0.6486,1.547419786453247
0.5096,0.7398,1.6312637329101562
0.4865,0.8222,1.784855604171753
0.4770,0.7453,1.9568092823028564
0.4831,0.8369,1.8049414157867432
0.4529,0.8182,1.3333323001861572
0.4634,0.8723,1.5239102840423584
0.4400,0.6721,1.6858103275299072
0.4788,0.7842,1.817483901977539
0.4873,0.8378,1.6641411781311035
0.5276,0.7008,1.6373248100280762
0.5347,0.7939,1.78208589553833
0.4512,0.7941,1.5232205390930176
0.4886,0.8062,1.7996652126312256
0.5883,0.8718,1.6807403564453125
0.4909,0.8911,1.5872461795806885
0.4918,0.9040,1.7384138107299805
0.4527,0.7615,1.5462737083435059
0.4465,0.5794,1.5389735698699951
0.5177,0.8592,1.9054014682769775
0.5503,0.7795,1.521331787109375
0.4255,0.6581,1.661874532699585
0.4444,0.8404,1.3994743824005127
0.5622,0.8047,2.1085872650146484
0.5059,0.8951,1.8929178714752197
0.4686,0.7480,1.7423713207244873
0.5171,0.9256,1.7250020503997803
0.5382,0.7914,1.8010599613189697
0.4305,0.7091,1.8358888626098633
0.5076,0.8131,1.5114037990570068
0.5270,0.8346,1.7168614864349365
0.4324,0.7012,2.0598814487457275
0.4211,0.7345,1.499197006225586
0.5018,0.8440,1.6307895183563232
0.4964,0.7731,1.592782974243164
0.4299,0.7099,1.7173497676849365
0.4741,0.7516,4.4825217723846436
0.4152,0.6930,1.5931358337402344
0.4875,0.7179,2.017199993133545
0.5120,0.9211,2.0142104625701904
0.5024,0.7516,1.784745454788208
0.5270,0.8480,1.7894296646118164
