cer_res,wer_res,time
0.5709,0.9908,1.6539077758789062
0.5143,0.7638,1.7935266494750977
0.4301,0.6555,1.9060912132263184
0.4917,0.9626,1.823840618133545
0.5746,0.9412,1.7850267887115479
0.4147,0.6480,2.014482021331787
0.4598,0.7266,2.807990550994873
0.3764,0.5116,1.0375337600708008
0.4117,0.5766,1.5889701843261719
0.4832,0.7236,1.870842695236206
0.4828,0.8074,2.149873971939087
0.4757,0.7640,2.346088171005249
0.4607,0.8156,2.1210601329803467
0.4424,0.8571,1.4040780067443848
0.4777,0.8723,1.7069711685180664
0.4279,0.6475,1.906299114227295
0.4869,0.7914,2.3344311714172363
0.4485,0.7928,1.7797772884368896
0.4666,0.7165,1.6974613666534424
0.4992,0.8397,1.8684053421020508
0.4437,0.8431,1.6206557750701904
0.4950,0.8140,1.897078514099121
0.5956,0.8632,2.43489408493042
0.5037,0.8812,1.8714547157287598
0.4904,0.9040,1.8015270233154297
0.4562,0.7339,1.663252353668213
0.4486,0.5981,1.7612831592559814
0.5348,0.8732,1.9920463562011719
0.5520,0.7795,1.6152923107147217
0.4223,0.7179,1.758897304534912
0.4538,0.8298,1.6589534282684326
0.5597,0.7929,2.4074504375457764
0.5225,0.8671,2.1985843181610107
0.4710,0.7480,1.7980387210845947
0.4709,0.9339,2.0378997325897217
0.5451,0.7842,2.3405673503875732
0.5000,0.7091,2.1889004707336426
0.5151,0.8131,1.6137974262237549
0.5519,0.8110,2.721348285675049
0.4630,0.6829,2.4302594661712646
0.4179,0.7434,1.6032676696777344
0.5005,0.8440,1.9480483531951904
0.4348,0.7479,1.8450846672058105
0.4395,0.7252,1.9220893383026123
0.5047,0.7386,2.7475461959838867
0.4038,0.6491,1.8647289276123047
0.5177,0.7436,2.904322385787964
0.5621,0.9539,2.701613664627075
0.4845,0.7451,2.093773603439331
0.5342,0.8640,2.1102287769317627
