cer_res,wer_res,time
0.4534,0.6220,2.435154914855957
0.2039,0.4551,1.158715009689331
0.3239,0.5139,1.6045141220092773
0.2146,0.7000,0.5685393810272217
0.2116,0.3770,1.006359577178955
0.3558,0.4541,1.468271255493164
0.4487,0.5745,2.811206579208374
0.5895,0.7523,2.0005674362182617
0.1430,0.4412,0.9703755378723145
0.4777,0.7414,2.267482280731201
0.3094,0.5100,1.5719878673553467
0.3578,0.5335,2.9033737182617188
0.3942,0.4959,2.6740548610687256
0.2396,0.5127,2.2186882495880127
0.1206,0.3919,0.7850222587585449
0.2982,0.5160,1.559065580368042
0.2817,0.5156,1.3838837146759033
0.3751,0.5188,2.339653968811035
0.4677,0.5054,3.805149555206299
0.3195,0.6667,1.241274118423462
0.1895,0.3858,1.638460636138916
0.4487,0.6597,2.394294261932373
0.2095,0.4536,1.4038376808166504
0.3789,0.5089,3.7249155044555664
0.2551,0.4900,1.151787519454956
0.2002,0.4358,1.054638385772705
0.3618,0.5239,7.463275194168091
0.1878,0.4098,0.9988718032836914
0.4101,0.5548,1.7234570980072021
0.4588,0.6364,2.9342117309570312
0.2989,0.3955,1.0717463493347168
0.2626,0.4780,1.39693021774292
0.3423,0.5437,2.7879061698913574
0.3584,0.6113,4.4709532260894775
0.4818,0.6301,2.968585729598999
0.4563,0.6117,3.2033963203430176
0.1794,0.3834,1.4134392738342285
0.3293,0.4649,1.409296989440918
0.2637,0.5057,1.3777642250061035
0.2273,0.4293,1.4265382289886475
0.4270,0.5989,2.6168689727783203
0.2046,0.4078,1.0407867431640625
0.4019,0.6667,0.4200901985168457
0.2253,0.4463,1.0609960556030273
0.3217,0.4948,1.602625846862793
0.4649,0.5875,2.0118942260742188
0.2580,0.3677,1.4130442142486572
0.4131,0.5926,1.2675762176513672
0.1968,0.3618,0.9106619358062744
0.4332,0.5938,1.9032599925994873
