cer_res,wer_res,time
0.4402,0.6280,2.9191744327545166
0.2309,0.4491,1.268726110458374
0.3705,0.5035,1.9253506660461426
0.1730,0.6333,0.5675644874572754
0.1811,0.3648,1.2035279273986816
0.3199,0.4357,1.7580821514129639
0.3890,0.6170,2.818787097930908
0.5679,0.7568,2.3206675052642822
0.2024,0.4294,1.1992104053497314
0.4699,0.7448,2.620840311050415
0.3107,0.4950,1.5561704635620117
0.4060,0.5566,3.375973701477051
0.3711,0.4939,3.6641080379486084
0.2740,0.5254,2.5404436588287354
0.1249,0.3919,0.8940515518188477
0.3905,0.5160,1.6082038879394531
0.2640,0.5312,1.490312099456787
0.3776,0.5301,2.2770354747772217
0.4664,0.5338,4.6066930294036865
0.2307,0.6914,1.2720253467559814
0.3164,0.3917,1.8946893215179443
0.5026,0.6933,2.4188153743743896
0.3038,0.4588,1.4929664134979248
0.4008,0.5335,4.684578895568848
0.2185,0.4800,1.1897923946380615
0.2028,0.4358,1.1646184921264648
0.3506,0.5457,5.409904479980469
0.1438,0.4098,1.033463716506958
0.3707,0.5615,1.8865482807159424
0.4516,0.6745,3.0089564323425293
0.2093,0.4011,1.0989201068878174
0.2921,0.4780,1.4745879173278809
0.3297,0.5521,2.646667957305908
0.3668,0.6083,3.350950241088867
0.4941,0.6484,3.268033981323242
0.4568,0.6649,3.072671890258789
0.1552,0.4249,1.5079607963562012
0.2866,0.4811,1.674546241760254
0.2529,0.4886,1.4923932552337646
0.2915,0.4607,1.494537115097046
0.4204,0.6401,3.159449577331543
0.2410,0.4078,1.1859781742095947
0.4632,0.8095,0.48853635787963867
0.2248,0.4350,1.1378686428070068
0.2918,0.5052,1.6046838760375977
0.4673,0.5992,2.224198341369629
0.2440,0.3767,1.768908977508545
0.3768,0.5802,1.3528141975402832
0.1381,0.3518,1.1214978694915771
0.4565,0.6133,2.1415648460388184
