cer_res,wer_res,time
0.1243,0.5000,1.9751856327056885
0.0745,0.3787,2.2497382164001465
0.1309,0.5000,2.6050777435302734
0.1036,0.4314,1.8837993144989014
0.1483,0.4792,2.261016845703125
0.1142,0.4097,1.9011478424072266
0.0564,0.2778,4.250736713409424
0.0326,0.2848,2.142885446548462
0.0949,0.3582,2.2820093631744385
0.0896,0.3941,2.2221202850341797
0.0619,0.3651,2.640326738357544
0.0429,0.3636,2.2334980964660645
0.0332,0.2617,2.3119421005249023
0.0788,0.3987,3.7125747203826904
0.1026,0.3795,2.1053600311279297
0.0767,0.5000,3.3315043449401855
0.0545,0.3187,1.9862382411956787
0.1240,0.3810,2.025078535079956
0.0515,0.3718,3.1782827377319336
0.0821,0.4647,3.4867846965789795
0.0791,0.3386,2.13429594039917
0.0849,0.3117,2.151181697845459
0.0892,0.3675,2.033018112182617
0.1063,0.3660,3.9267466068267822
0.1579,0.4677,2.2117276191711426
0.1583,0.5031,3.6302409172058105
0.1141,0.4922,2.2218172550201416
0.1261,0.4872,2.0837173461914062
0.0521,0.3368,2.3478827476501465
0.0442,0.3297,2.164836883544922
0.0873,0.4385,2.234907865524292
0.1481,0.3803,1.2138166427612305
0.0817,0.3796,3.285890579223633
0.0491,0.2270,2.027703285217285
