cer_res,wer_res,time
0.3309,0.6330,46.576011180877686
0.3369,0.7244,50.70465040206909
0.3673,0.8319,52.654035329818726
0.3125,0.5794,48.41360259056091
0.2287,0.7899,46.90544652938843
0.3061,0.8240,54.23579525947571
0.3169,0.7626,53.01465201377869
1.0000,1.0000,18.778644800186157
0.3145,0.6757,46.11210918426514
0.2745,0.7642,54.394925355911255
0.2487,0.7259,50.850226640701294
0.3659,0.6584,56.358227014541626
0.3876,0.7943,51.032657861709595
0.3808,0.8831,46.03252720832825
0.3563,0.7979,43.69735097885132
0.2842,0.6475,49.04938554763794
0.3090,0.5108,51.811307191848755
0.3217,0.6216,49.15091156959534
0.2765,0.6220,44.61897373199463
0.3712,0.6183,49.452754974365234
0.3738,0.6176,43.947431802749634
0.3170,0.7054,54.99947428703308
0.2778,0.7521,52.32387328147888
0.2739,0.7624,51.37165307998657
0.3066,0.5920,51.56807518005371
0.3353,0.8165,50.50118827819824
0.3195,0.6822,43.9818058013916
0.3119,0.6761,54.35821223258972
0.3845,0.8976,51.987544775009155
0.3283,0.7094,49.39329648017883
0.3120,0.9149,47.57109451293945
0.3942,0.6568,55.97294306755066
0.2576,0.5664,51.3619225025177
0.2735,0.5610,49.534780979156494
0.3199,0.6860,49.71514344215393
0.2768,0.7050,45.78995966911316
0.2894,0.7152,53.59628105163574
0.3566,0.7477,55.56832408905029
0.2279,0.7165,48.78810477256775
0.2589,0.5427,58.563470125198364
0.2675,0.7434,48.541975259780884
0.2849,0.6422,48.42841625213623
0.3162,0.7983,49.186891078948975
0.3511,0.9313,53.49099349975586
0.3370,0.7778,55.255738735198975
0.3545,0.9211,54.02683734893799
0.2942,0.6090,50.63880443572998
0.2583,0.5066,52.80038356781006
0.3892,0.8366,57.41101908683777
0.3054,0.6000,53.18380880355835
