cer_res,wer_res,time
0.3261,0.5046,22.4094135761261
0.2495,0.5039,23.494625568389893
0.2833,0.5042,31.492281198501587
0.3569,0.5234,31.185346603393555
0.2201,0.5042,22.574512004852295
0.3171,0.5040,31.00402808189392
0.3216,0.4748,30.793087482452393
1.0000,1.0000,18.459315538406372
0.3159,0.5045,25.085633516311646
0.2554,0.5122,29.20271396636963
0.2529,0.4741,28.568774938583374
0.3751,0.5528,27.722188472747803
0.2186,0.4752,26.560325384140015
0.3333,0.5195,23.064565420150757
0.3273,0.4787,31.41799545288086
0.2935,0.5082,36.25647234916687
0.2670,0.4820,28.783822298049927
0.3215,0.5315,22.522229194641113
0.2631,0.4724,21.780563592910767
0.3499,0.4962,23.516968727111816
0.3436,0.5294,21.41630458831787
0.3007,0.4961,27.04831075668335
0.3352,0.5214,33.319061040878296
0.3120,0.5446,32.92645335197449
0.3136,0.4960,23.102227926254272
0.2993,0.4954,26.332905292510986
0.3244,0.5140,25.760536909103394
0.3365,0.5352,23.493204832077026
0.3182,0.5433,22.69737696647644
0.3172,0.5128,23.562426805496216
0.2467,0.4894,29.78607177734375
0.4447,0.5030,29.634382963180542
0.2730,0.5035,28.506685733795166
0.2803,0.4959,21.780041933059692
0.3075,0.4876,26.25972819328308
0.2594,0.4748,32.60094118118286
0.2338,0.4848,32.73275279998779
0.3339,0.5327,23.449564218521118
0.2437,0.4961,29.421830654144287
0.2967,0.4878,28.56056022644043
0.2609,0.5221,23.082464933395386
0.3131,0.4954,29.137446880340576
0.2617,0.4706,26.354843139648438
0.2931,0.5191,27.513768911361694
0.3356,0.4706,30.016015768051147
0.2730,0.4825,34.11308693885803
0.2473,0.4744,27.26591992378235
0.2696,0.4605,36.45467185974121
0.3223,0.4706,34.749022483825684
0.3101,0.5040,32.02635622024536
