cer_res,wer_res,time
0.1200,0.8125,115.73660659790039
0.1790,1.0000,73.1994309425354
0.1413,0.9201,114.19662761688232
0.1542,0.9333,18.979338884353638
0.0302,0.2541,35.513577938079834
0.0368,0.3386,58.89258432388306
0.0750,0.7872,116.49514603614807
1.0000,1.0000,10.662720203399658
0.1139,0.8824,63.850486278533936
0.0672,0.5448,65.7929482460022
0.2214,1.0000,103.29669833183289
0.0938,0.5751,97.12470555305481
0.0449,0.5531,107.08675503730774
0.0664,0.9915,119.03436279296875
0.0494,1.0000,38.49890637397766
0.0763,0.9315,102.99085521697998
0.0560,0.9844,83.6902244091034
0.1246,0.9774,125.66373753547668
0.1466,0.7190,124.21721506118774
0.1842,0.6296,30.735865831375122
0.1703,0.9466,139.59994745254517
0.2128,0.9790,125.3573112487793
0.1350,1.0000,87.25336933135986
0.1541,0.6183,112.74761152267456
0.1212,0.9800,50.37223148345947
0.1715,0.9385,73.2343213558197
0.0890,0.7083,179.36245846748352
0.1634,1.0000,56.73800802230835
0.0622,0.9701,123.21007299423218
0.0760,0.7243,111.02498984336853
0.1911,0.9774,72.92526173591614
0.1421,0.9902,90.4909737110138
0.1562,0.7408,112.31033778190613
0.2881,0.9258,145.69132685661316
0.1104,0.8699,149.23360753059387
0.0811,0.4229,70.65458917617798
0.1508,0.9845,82.67992568016052
0.1089,0.9892,82.37318062782288
0.1022,1.0000,78.79630732536316
0.1643,0.9948,89.33480429649353
0.0556,0.3324,55.13251209259033
0.1122,0.9832,74.48214745521545
0.1513,1.0000,19.494534254074097
0.0850,0.9322,70.03778576850891
0.2118,1.0000,103.15989637374878
0.1699,0.9961,109.18527030944824
0.1611,1.0000,98.83394885063171
0.1668,0.9938,82.45883297920227
0.0125,0.2814,32.424293994903564
0.2017,0.9570,110.4677791595459
