cer_res,wer_res,time
0.0459,0.5203,23.75360107421875
0.0459,0.5444,34.67063331604004
0.0409,0.4485,25.823739767074585
0.0475,0.4248,25.249003648757935
0.0322,0.4323,25.544918537139893
0.0734,0.3958,25.771536588668823
0.0563,0.3889,37.694435596466064
0.0419,0.3907,32.178250789642334
0.0362,0.3582,24.130778312683105
0.0374,0.4353,24.918609619140625
0.0369,0.4074,28.63206672668457
0.0484,0.5455,23.765318155288696
0.0462,0.3691,33.59419822692871
0.0437,0.5316,23.94253897666931
0.0417,0.4940,26.12577486038208
0.0360,0.4600,25.481560945510864
0.0357,0.3688,29.791209936141968
0.0293,0.3878,23.451743125915527
0.0479,0.4744,27.88304615020752
0.0319,0.3941,31.76590895652771
0.0352,0.3333,26.941123485565186
0.0505,0.4610,35.30797553062439
0.0438,0.4880,24.684185028076172
0.0333,0.4021,23.569095849990845
0.0428,0.4301,24.51807427406311
0.0403,0.4969,30.998493671417236
0.0397,0.4611,24.33899974822998
0.0471,0.4423,29.094958782196045
0.0398,0.4508,35.42230248451233
0.0540,0.4108,32.80946755409241
0.0531,0.6096,26.5691499710083
0.0645,0.5775,20.37950086593628
0.0354,0.4307,23.74486231803894
0.0351,0.3067,25.249600172042847
