cer_res,wer_res,time
0.4620,0.5872,1.5938549041748047
0.2611,0.4961,1.4178342819213867
0.3228,0.5210,1.6013736724853516
0.3136,0.5981,1.5825285911560059
0.3265,0.5798,1.3242778778076172
0.3408,0.5760,1.6990132331848145
0.2509,0.4460,1.4327313899993896
0.3309,0.5349,1.2873420715332031
0.2684,0.5315,1.4136967658996582
0.2570,0.4878,1.4227244853973389
0.2720,0.5407,1.4709720611572266
0.3747,0.4969,1.863332986831665
0.2749,0.4894,1.3401336669921875
0.3479,0.6234,1.5707852840423584
0.2820,0.5426,1.4756906032562256
0.3557,0.6148,1.6644484996795654
0.2715,0.5683,1.7198104858398438
0.3256,0.5946,1.6810426712036133
0.2784,0.5118,1.3176286220550537
0.3166,0.5802,1.7518799304962158
0.3297,0.5294,1.5968127250671387
0.3165,0.5426,1.7266337871551514
0.2874,0.5726,1.4793672561645508
0.4288,0.4950,1.551269769668579
0.3479,0.6320,1.7503128051757812
0.2808,0.5413,1.394103765487671
0.3203,0.5607,1.607922077178955
0.3227,0.5493,1.7967596054077148
0.3383,0.4724,1.2876572608947754
0.3276,0.5641,1.7012972831726074
0.2322,0.4043,1.1161746978759766
0.4293,0.4911,1.7937359809875488
0.3725,0.4895,1.701219081878662
0.3190,0.5122,1.6431841850280762
0.3671,0.4959,1.6305570602416992
0.2657,0.5180,1.5114922523498535
0.2773,0.4909,1.5356571674346924
0.2645,0.5047,1.1872191429138184
0.2618,0.4724,1.4165921211242676
0.3094,0.5183,1.762770652770996
0.2773,0.5310,1.311424970626831
0.3556,0.5780,1.6097500324249268
0.2709,0.4706,1.3093783855438232
0.2574,0.4885,1.4316987991333008
0.2519,0.4444,1.5310640335083008
0.2071,0.4123,1.3078856468200684
0.3270,0.5128,1.7608423233032227
0.3294,0.5592,1.790494441986084
0.2449,0.4575,1.4351224899291992
0.4535,0.5680,1.679783821105957
