cer_res,wer_res,time
0.3788,0.5780,1.6716525554656982
0.3285,0.4803,1.505185842514038
0.3527,0.4874,1.7413227558135986
0.3496,0.5701,1.7253398895263672
0.3549,0.5462,1.3630332946777344
0.3615,0.5440,1.8375630378723145
0.2807,0.4748,1.5184402465820312
0.3615,0.5116,1.3561906814575195
0.3036,0.5045,1.4766600131988525
0.2776,0.4553,1.4897003173828125
0.2872,0.5037,1.5053391456604004
0.3882,0.5155,2.0317351818084717
0.3137,0.4965,1.4150233268737793
0.3646,0.5584,1.6320955753326416
0.3279,0.5745,1.6105949878692627
0.3349,0.5492,1.7487800121307373
0.3166,0.5252,1.789458990097046
0.3756,0.6306,1.7433929443359375
0.3267,0.5197,1.3919286727905273
0.3445,0.5573,1.7918756008148193
0.3651,0.5294,1.702077865600586
0.3509,0.5116,1.7762246131896973
0.3141,0.5726,1.5934293270111084
0.4886,0.5050,1.6904706954956055
0.3591,0.6240,1.7784814834594727
0.2876,0.5229,1.4440252780914307
0.3571,0.5607,1.737985610961914
0.3496,0.5211,1.8612689971923828
0.4475,0.5354,1.3587572574615479
0.3512,0.5641,1.7850911617279053
0.2200,0.3936,1.2125601768493652
0.4455,0.4852,1.9590134620666504
0.3849,0.5175,1.821378231048584
0.3657,0.5122,1.6370742321014404
0.3835,0.4959,1.776573896408081
0.2980,0.5036,1.6021535396575928
0.3561,0.5394,1.6157283782958984
0.2990,0.5514,1.2341666221618652
0.2946,0.4961,1.5640654563903809
0.3638,0.6037,1.8825671672821045
0.3351,0.5487,1.391108512878418
0.3883,0.5688,1.7451207637786865
0.3117,0.4622,1.411543369293213
0.3099,0.5115,1.5438988208770752
0.3010,0.4641,1.6587581634521484
0.2701,0.4737,1.4245405197143555
0.3655,0.5256,1.9507560729980469
0.3577,0.5526,1.8445243835449219
0.2863,0.4771,1.5462496280670166
0.3742,0.6080,1.8221373558044434
