cer_res,wer_res,time
0.0504,0.2173,1.09651780128479
0.0012,0.2216,0.631685733795166
0.0025,0.2153,0.9976100921630859
0.0372,0.2667,0.2680637836456299
0.0120,0.1885,0.6688587665557861
0.0359,0.2073,0.9965062141418457
0.0418,0.2188,1.0985102653503418
0.0062,0.1577,0.7764992713928223
0.0045,0.2471,0.62965989112854
0.0436,0.2793,0.9980101585388184
0.0020,0.2250,0.718517541885376
0.0163,0.1778,1.2990338802337646
0.0096,0.1633,1.295607089996338
0.0007,0.2669,1.0759055614471436
0.0000,0.2432,0.4515073299407959
0.0088,0.2100,0.888810396194458
0.0232,0.2552,0.8263285160064697
0.0053,0.2406,1.0605692863464355
0.0069,0.1765,1.5389978885650635
0.0021,0.1852,0.4864168167114258
0.0137,0.2107,1.0746612548828125
0.0387,0.3992,1.0862171649932861
0.0567,0.2423,0.779069185256958
0.0026,0.1585,1.4789965152740479
0.0000,0.1600,0.5091872215270996
0.0087,0.2346,0.6706585884094238
0.0057,0.1597,2.0663113594055176
0.0167,0.2377,0.5897667407989502
0.0180,0.2392,1.044461727142334
0.0371,0.2463,1.1371033191680908
0.0088,0.2316,0.6524875164031982
0.0045,0.2098,0.7275655269622803
0.0127,0.1859,1.1507670879364014
0.0105,0.1721,1.1504600048065186
0.0328,0.2100,1.2901947498321533
0.0495,0.2447,1.2441442012786865
0.0659,0.2176,0.7802996635437012
0.0103,0.2270,0.8020155429840088
0.0531,0.2670,0.8597450256347656
0.0163,0.2251,0.7619478702545166
0.0413,0.1896,1.1434097290039062
0.0767,0.2458,0.6859729290008545
0.2946,0.8095,0.2649405002593994
0.0043,0.2429,0.6579699516296387
0.0094,0.2423,0.7495753765106201
0.0104,0.2607,0.9843292236328125
0.0046,0.2242,0.724677324295044
0.0092,0.2593,0.6759555339813232
0.0035,0.1709,0.5907506942749023
0.0123,0.2734,1.0118143558502197
