cer_res,wer_res,time
0.0037,0.2230,1.3294882774353027
0.0020,0.2367,1.4343421459197998
0.0049,0.2371,1.508188247680664
0.0033,0.1699,1.247941493988037
0.0018,0.2188,1.4938006401062012
0.0000,0.0833,1.277468204498291
0.0052,0.0909,1.51997971534729
0.0037,0.1523,1.3976967334747314
0.0056,0.1841,1.4654946327209473
0.0027,0.2000,1.388608455657959
0.0025,0.1587,1.5523042678833008
0.0012,0.2246,1.4579379558563232
0.0080,0.1409,1.4383728504180908
0.0063,0.2658,1.3676655292510986
0.0029,0.2470,1.3741133213043213
0.0056,0.2667,1.2715518474578857
0.0021,0.1437,1.3629264831542969
0.0242,0.1905,1.3420333862304688
0.0036,0.1923,1.3629379272460938
0.0021,0.1941,1.37730073928833
0.0007,0.1217,1.3599154949188232
0.0049,0.1688,1.2726280689239502
0.0043,0.2048,1.3542170524597168
0.0031,0.1959,1.4880309104919434
0.0064,0.2097,1.4209837913513184
0.0035,0.2883,1.4211359024047852
0.0025,0.2280,1.445474624633789
0.0024,0.1667,1.3126144409179688
0.0024,0.1969,1.504495620727539
0.0032,0.0919,1.4533677101135254
0.0044,0.2674,1.4547066688537598
0.0036,0.1831,0.835944414138794
0.0031,0.1606,1.3052375316619873
0.0030,0.1043,1.3186240196228027
